Symbol,Name,Market,Exchange
600519,贵州茅台,CN,上交所
601318,中国平安,CN,上交所
600036,招商银行,CN,上交所
600030,中信证券,CN,上交所
601166,兴业银行,CN,上交所
600276,恒瑞医药,CN,上交所
601888,中国中免,CN,上交所
603288,海天味业,CN,上交所
600900,长江电力,CN,上交所
601012,隆基绿能,CN,上交所
000001,平安银行,CN,深交所
000002,万科A,CN,深交所
000858,五粮液,CN,深交所
002594,比亚迪,CN,深交所
300750,宁德时代,CN,深交所
300059,东方财富,CN,深交所
002415,海康威视,CN,深交所
000333,美的集团,CN,深交所
002475,立讯精密,CN,深交所
300760,迈瑞医疗,CN,深交所
00700,腾讯控股,CN,港交所
09988,阿里巴巴-SW,CN,港交所
03690,美团-W,CN,港交所
01810,小米集团-W,CN,港交所
09618,京东集团-SW,CN,港交所
02318,中国平安,CN,港交所
00941,中国移动,CN,港交所
01299,友邦保险,CN,港交所
02020,安踏体育,CN,港交所
02269,药明生物,CN,港交所
